bugLineNum	totalNumLinesInFile
202	1068
135	1068
25	131
1071	1660
1071	1660
1073	1660
1073	1660
133	169
70	280
94	196
116	211
551	1042
576	1042
940	1966
43	60
43	60
86	526
56	75
47	110
190	283
175	271
183	271
191	271
199	271
207	271
215	271
223	271
114	146
120	146
339	667
339	667
67	90
67	90
49	459
676	1108
1016	3255
896	3206
896	3206
32	150
32	150
23	117
102	227
102	227
33	37
32	204
542	577
78	162
131	176
196	228
305	352
17	45
19	45
246	798
738	1412
1159	1187
1674	2660
244	704
244	704
296	341
319	341
277	805
268	273
429	665
16	34
468	916
34	57
402	894
70	161
82	161
592	2109
1630	2109
1845	2109
398	2109
522	2109
559	2109
579	2109
605	2109
633	2109
655	2109
74	2109
68	2109
53	2109
92	223
1672	2099
1745	2087
1745	2087
54	99
1606	2061
223	250
283	1322
283	1322
298	1322
298	1322
925	1374
998	1374
1340	1355
1340	1355
1343	1355
1343	1355
1345	1355
431	497
431	497
218	278
205	285
77	205
78	145
751	1300
977	1893
545	640
949	1839
66	97
66	97
69	123
9	43
25	43
199	247
199	247
61	131
439	531
153	539
521	539
778	1463
778	1463
43	144
38	46
38	46
49	71
422	436
29	58
42	58
48	275
4	32
20	32
977	1176
977	1176
56	101
390	706
127	149
24	32
67	255
59	255
518	628
611	628
183	366
26	86
64	86
64	86
342	853
342	853
